	taxon	sample_id	tolerance	reaction	flux	abundance	metabolite	direction
2375	Rhodococcus	oilspill	1e-06	EX_h2co3_e	42.75157380859537	0.1	h2co3_e	export
2379	Rhodococcus	oilspill	1e-06	EX_o2_e	-0.023452425469245083	0.1	o2_e	import
2381	Rhodococcus	oilspill	1e-06	EX_pro__L_e	-0.03373290938734813	0.1	pro__L_e	import
2383	Rhodococcus	oilspill	1e-06	EX_glyc__R_e	-100.0	0.1	glyc__R_e	import
2391	Rhodococcus	oilspill	1e-06	EX_lac__D_e	-100.0	0.1	lac__D_e	import
2394	Rhodococcus	oilspill	1e-06	EX_k_e	-0.029786377969485626	0.1	k_e	import
2401	Rhodococcus	oilspill	1e-06	EX_ser__D_e	-100.0	0.1	ser__D_e	import
2403	Rhodococcus	oilspill	1e-06	EX_asp__L_e	101.00372494814246	0.1	asp__L_e	export
2406	Rhodococcus	oilspill	1e-06	EX_cu2_e	-0.0001081931208299812	0.1	cu2_e	import
2417	Rhodococcus	oilspill	1e-06	EX_nh4_e	-100.0	0.1	nh4_e	import
2419	Rhodococcus	oilspill	1e-06	EX_thm_e	-3.402971564980817e-05	0.1	thm_e	import
2421	Rhodococcus	oilspill	1e-06	EX_h2o_e	-100.0	0.1	h2o_e	import
2428	Rhodococcus	oilspill	1e-06	EX_gthox_e	-36.909507958543486	0.1	gthox_e	import
2431	Rhodococcus	oilspill	1e-06	EX_thr__L_e	-0.03871254024454629	0.1	thr__L_e	import
2433	Rhodococcus	oilspill	1e-06	EX_pi_e	0.9623839405522858	0.1	pi_e	export
2440	Rhodococcus	oilspill	1e-06	EX_co2_e	-100.0	0.1	co2_e	import
2441	Rhodococcus	oilspill	1e-06	EX_man1p_e	-1.0823414350156781	0.1	man1p_e	import
2443	Rhodococcus	oilspill	1e-06	EX_arg__L_e	-0.045137747318563015	0.1	arg__L_e	import
2444	Rhodococcus	oilspill	1e-06	EX_glyb_e	-0.023452425469245083	0.1	glyb_e	import
2446	Rhodococcus	oilspill	1e-06	EX_so4_e	-0.0006619771591829249	0.1	so4_e	import
2449	Rhodococcus	oilspill	1e-06	EX_zn2_e	-5.20364710183685e-05	0.1	zn2_e	import
2451	Rhodococcus	oilspill	1e-06	EX_ca2_e	-0.0007942810312897564	0.1	ca2_e	import
2452	Rhodococcus	oilspill	1e-06	EX_xan_e	0.22073932045952915	0.1	xan_e	export
2454	Rhodococcus	oilspill	1e-06	EX_pac_e	65.6557915236773	0.1	pac_e	export
2457	Rhodococcus	oilspill	1e-06	EX_h2o2_e	36.909507958543486	0.1	h2o2_e	export
2466	Rhodococcus	oilspill	1e-06	EX_fe2_e	-0.0010247064600434896	0.1	fe2_e	import
2471	Rhodococcus	oilspill	1e-06	EX_pyr_e	-42.46462512376959	0.1	pyr_e	import
2473	Rhodococcus	oilspill	1e-06	EX_ala__D_e	-100.0	0.1	ala__D_e	import
2486	Rhodococcus	oilspill	1e-06	EX_h2s_e	-0.03754942592766497	0.1	h2s_e	import
2487	Rhodococcus	oilspill	1e-06	EX_4abut_e	-6.528412171472226	0.1	4abut_e	import
2494	Rhodococcus	oilspill	1e-06	EX_cytd_e	-0.02032398062357941	0.1	cytd_e	import
2497	Rhodococcus	oilspill	1e-06	EX_acald_e	198.36285307921014	0.1	acald_e	export
2498	Rhodococcus	oilspill	1e-06	EX_uri_e	-0.02611299987449911	0.1	uri_e	import
2507	Rhodococcus	oilspill	1e-06	EX_pacald_e	-65.65579152367732	0.1	pacald_e	import
2508	Rhodococcus	oilspill	1e-06	EX_2dhglcn_e	-99.45621199815866	0.1	2dhglcn_e	import
2511	Rhodococcus	oilspill	1e-06	EX_thymd_e	-0.00811570568387765	0.1	thymd_e	import
2514	Rhodococcus	oilspill	1e-06	EX_leu__L_e	0.4339152059793605	0.1	leu__L_e	export
2519	Rhodococcus	oilspill	1e-06	EX_cobalt2_e	-1.525996219697845e-05	0.1	cobalt2_e	import
2520	Rhodococcus	oilspill	1e-06	EX_xtsn_e	-0.22073932045952915	0.1	xtsn_e	import
2529	Thalassospira	oilspill	1e-06	EX_ala__L_e	-100.0	0.1	ala__L_e	import
2530	Thalassospira	oilspill	1e-06	EX_h_e	-39.65433268007405	0.1	h_e	import
2534	Thalassospira	oilspill	1e-06	EX_ser__L_e	158.94989570147186	0.1	ser__L_e	export
2537	Thalassospira	oilspill	1e-06	EX_mg2_e	-8.329956619945733e-05	0.1	mg2_e	import
2541	Thalassospira	oilspill	1e-06	EX_lac__L_e	-100.0	0.1	lac__L_e	import
2542	Thalassospira	oilspill	1e-06	EX_mn2_e	-6.635158533699692e-06	0.1	mn2_e	import
2546	Thalassospira	oilspill	1e-06	EX_lys__L_e	-0.0032951195912573894	0.1	lys__L_e	import
2552	Thalassospira	oilspill	1e-06	EX_fe3_e	-0.0029576675269709085	0.1	fe3_e	import
2556	Thalassospira	oilspill	1e-06	EX_val__L_e	-0.00406884053070491	0.1	val__L_e	import
2562	Thalassospira	oilspill	1e-06	EX_succ_e	0.21542465975955036	0.1	succ_e	export
2563	Thalassospira	oilspill	1e-06	EX_cl_e	-4.9979739742411766e-05	0.1	cl_e	import
2567	Thalassospira	oilspill	1e-06	EX_akg_e	-51.065472775833314	0.1	akg_e	import
2569	Thalassospira	oilspill	1e-06	EX_meoh_e	-0.42848003733624296	0.1	meoh_e	import
2576	Thalassospira	oilspill	1e-06	EX_fum_e	-100.0	0.1	fum_e	import
2577	Thalassospira	oilspill	1e-06	EX_skm_e	0.21318197087259705	0.1	skm_e	export
2591	Thalassospira	oilspill	1e-06	EX_gthrd_e	-100.0	0.1	gthrd_e	import
2592	Thalassospira	oilspill	1e-06	EX_phe__L_e	0.14100290248601155	0.1	phe__L_e	export
2594	Thalassospira	oilspill	1e-06	EX_gly_e	-100.0	0.1	gly_e	import
2596	Thalassospira	oilspill	1e-06	EX_thym_e	-0.0002512526167492979	0.1	thym_e	import
2599	Thalassospira	oilspill	1e-06	EX_fol_e	-6.42390887151123e-06	0.1	fol_e	import
2607	Thalassospira	oilspill	1e-06	EX_glu__L_e	-48.94054130881614	0.1	glu__L_e	import
2609	Thalassospira	oilspill	1e-06	EX_his__L_e	-0.000909698479290455	0.1	his__L_e	import
2615	Thalassospira	oilspill	1e-06	EX_mal__L_e	199.9899809874321	0.1	mal__L_e	export
2618	Thalassospira	oilspill	1e-06	EX_o2_e	-0.0014809750664426247	0.1	o2_e	import
2619	Thalassospira	oilspill	1e-06	EX_cgly_e	-100.0	0.1	cgly_e	import
2620	Thalassospira	oilspill	1e-06	EX_pro__L_e	0.285448488486999	0.1	pro__L_e	export
2627	Thalassospira	oilspill	1e-06	EX_adn_e	0.00025221284218488946	0.1	adn_e	export
2628	Thalassospira	oilspill	1e-06	EX_lac__D_e	-100.0	0.1	lac__D_e	import
2630	Thalassospira	oilspill	1e-06	EX_k_e	-0.001874293053063525	0.1	k_e	import
2633	Thalassospira	oilspill	1e-06	EX_ser__D_e	-100.0	0.1	ser__D_e	import
2635	Thalassospira	oilspill	1e-06	EX_asp__L_e	-100.0	0.1	asp__L_e	import
2640	Thalassospira	oilspill	1e-06	EX_cu2_e	-6.807998488511657e-06	0.1	cu2_e	import
2646	Thalassospira	oilspill	1e-06	EX_nh4_e	-100.0	0.1	nh4_e	import
2648	Thalassospira	oilspill	1e-06	EX_thm_e	-2.14130297107819e-06	0.1	thm_e	import
2652	Thalassospira	oilspill	1e-06	EX_h2o_e	281.34318067568233	0.1	h2o_e	export
2658	Thalassospira	oilspill	1e-06	EX_gthox_e	100.0	0.1	gthox_e	export
2660	Thalassospira	oilspill	1e-06	EX_thr__L_e	-0.002435967384826654	0.1	thr__L_e	import
2661	Thalassospira	oilspill	1e-06	EX_pi_e	0.11726082194718401	0.1	pi_e	export
2668	Thalassospira	oilspill	1e-06	EX_co2_e	50.57724930646509	0.1	co2_e	export
2669	Thalassospira	oilspill	1e-06	EX_man1p_e	-0.12672953886124105	0.1	man1p_e	import
2670	Thalassospira	oilspill	1e-06	EX_arg__L_e	-0.002840270351612162	0.1	arg__L_e	import
2671	Thalassospira	oilspill	1e-06	EX_glyb_e	-0.0014788337634854543	0.1	glyb_e	import
2673	Thalassospira	oilspill	1e-06	EX_so4_e	-4.165458425353004e-05	0.1	so4_e	import
2679	Thalassospira	oilspill	1e-06	EX_zn2_e	-3.274369120731535e-06	0.1	zn2_e	import
2681	Thalassospira	oilspill	1e-06	EX_ca2_e	-4.9979739742411766e-05	0.1	ca2_e	import
2686	Thalassospira	oilspill	1e-06	EX_no2_e	0.0015035115598622398	0.1	no2_e	export
2688	Thalassospira	oilspill	1e-06	EX_dxyl_e	-0.010572304130620958	0.1	dxyl_e	import
2689	Thalassospira	oilspill	1e-06	EX_h2o2_e	-100.0	0.1	h2o2_e	import
2698	Thalassospira	oilspill	1e-06	EX_fe2_e	0.0028182139706975067	0.1	fe2_e	export
2704	Thalassospira	oilspill	1e-06	EX_ala__D_e	290.2814348746541	0.1	ala__D_e	export
2711	Thalassospira	oilspill	1e-06	EX_ac_e	10.500832545046023	0.1	ac_e	export
2716	Thalassospira	oilspill	1e-06	EX_h2s_e	-0.000456520032116714	0.1	h2s_e	import
2717	Thalassospira	oilspill	1e-06	EX_4abut_e	-0.2154256199851261	0.1	4abut_e	import
2726	Thalassospira	oilspill	1e-06	EX_acald_e	-30.606332577884245	0.1	acald_e	import
2732	Thalassospira	oilspill	1e-06	EX_etoh_e	20.100788887836075	0.1	etoh_e	export
2735	Thalassospira	oilspill	1e-06	EX_cys__L_e	-0.0019062589614139906	0.1	cys__L_e	import
2736	Thalassospira	oilspill	1e-06	EX_orn_e	-0.2875711150711595	0.1	orn_e	import
2738	Thalassospira	oilspill	1e-06	EX_leu__L_e	-0.004326113761749184	0.1	leu__L_e	import
2742	Thalassospira	oilspill	1e-06	EX_no3_e	-0.0015035115598607263	0.1	no3_e	import
2746	Oleibacter	oilspill	1e-06	EX_ala__L_e	-100.0	0.1	ala__L_e	import
2748	Oleibacter	oilspill	1e-06	EX_h_e	-100.0	0.1	h_e	import
2753	Oleibacter	oilspill	1e-06	EX_mg2_e	-0.008249977370311967	0.1	mg2_e	import
2756	Oleibacter	oilspill	1e-06	EX_mn2_e	-0.0006571451715160492	0.1	mn2_e	import
2761	Oleibacter	oilspill	1e-06	EX_fe3_e	-0.007425455136285564	0.1	fe3_e	import
2765	Oleibacter	oilspill	1e-06	EX_bz_e	-9.510060385764518e-05	0.1	bz_e	import
2767	Oleibacter	oilspill	1e-06	EX_cl_e	-0.004949986422161601	0.1	cl_e	import
2778	Oleibacter	oilspill	1e-06	EX_gthrd_e	-100.0	0.1	gthrd_e	import
2781	Oleibacter	oilspill	1e-06	EX_asn__L_e	-0.2292447602305856	0.1	asn__L_e	import
2783	Oleibacter	oilspill	1e-06	EX_icit_e	-83.81116942293556	0.1	icit_e	import
2785	Oleibacter	oilspill	1e-06	EX_glu__L_e	81.52453468910508	0.1	glu__L_e	export
2789	Oleibacter	oilspill	1e-06	EX_o2_e	-18.328874663361262	0.1	o2_e	import
2796	Oleibacter	oilspill	1e-06	EX_k_e	-0.18562972136520273	0.1	k_e	import
2800	Oleibacter	oilspill	1e-06	EX_asp__L_e	-7.873336976930659	0.1	asp__L_e	import
2802	Oleibacter	oilspill	1e-06	EX_cu2_e	-0.0006742632116356617	0.1	cu2_e	import
2804	Oleibacter	oilspill	1e-06	EX_nh4_e	16.788053296817232	0.1	nh4_e	export
2806	Oleibacter	oilspill	1e-06	EX_h2o_e	135.21900590597306	0.1	h2o_e	export
2808	Oleibacter	oilspill	1e-06	EX_gthox_e	50.0	0.1	gthox_e	export
2809	Oleibacter	oilspill	1e-06	EX_pi_e	-0.9377803959799849	0.1	pi_e	import
2811	Oleibacter	oilspill	1e-06	EX_co2_e	95.38438761481609	0.1	co2_e	export
2813	Oleibacter	oilspill	1e-06	EX_so4_e	-0.00412546418817783	0.1	so4_e	import
2814	Oleibacter	oilspill	1e-06	EX_zn2_e	-0.000324293058611147	0.1	zn2_e	import
2815	Oleibacter	oilspill	1e-06	EX_ca2_e	-0.004949986422161601	0.1	ca2_e	import
2819	Oleibacter	oilspill	1e-06	EX_h2o2_e	-50.0	0.1	h2o2_e	import
2824	Oleibacter	oilspill	1e-06	EX_fe2_e	-0.00638600553793367	0.1	fe2_e	import
2826	Oleibacter	oilspill	1e-06	EX_pyr_e	98.06341758612962	0.1	pyr_e	export
2828	Oleibacter	oilspill	1e-06	EX_glyclt_e	0.000848297384777652	0.1	glyclt_e	export
2829	Oleibacter	oilspill	1e-06	EX_pydxn_e	-0.00021207434623704557	0.1	pydxn_e	import
2830	Oleibacter	oilspill	1e-06	EX_ac_e	-0.6186589082058163	0.1	ac_e	import
2832	Oleibacter	oilspill	1e-06	EX_h2s_e	-0.23422137482138794	0.1	h2s_e	import
2838	Oleibacter	oilspill	1e-06	EX_acald_e	-63.53488042278207	0.1	acald_e	import
2840	Oleibacter	oilspill	1e-06	EX_etoh_e	63.53488042278207	0.1	etoh_e	export
2844	Oleibacter	oilspill	1e-06	EX_ura_e	-0.314588041984166	0.1	ura_e	import
2846	Oleibacter	oilspill	1e-06	EX_cobalt2_e	-9.510060385764518e-05	0.1	cobalt2_e	import
