	taxon	sample_id	tolerance	reaction	flux	abundance	metabolite	direction
490	Alcanivorax	oilspill	1e-06	EX_leu__L_e	-0.09284073662126957	0.1	leu__L_e	import
492	Alcanivorax	oilspill	1e-06	EX_ura_e	-0.06270821141775684	0.1	ura_e	import
493	Alcanivorax	oilspill	1e-06	EX_cobalt2_e	-2.060695862837747e-05	0.1	cobalt2_e	import
499	Flavobacterium	oilspill	1e-06	EX_ile__L_e	0.2626372126469049	0.1	ile__L_e	export
500	Flavobacterium	oilspill	1e-06	EX_arab__L_e	-100.0	0.1	arab__L_e	import
502	Flavobacterium	oilspill	1e-06	EX_ala__L_e	186.6064537957517	0.1	ala__L_e	export
504	Flavobacterium	oilspill	1e-06	EX_id3acald_e	43.7142261054114	0.1	id3acald_e	export
505	Flavobacterium	oilspill	1e-06	EX_h_e	-34.99052759587403	0.1	h_e	import
508	Flavobacterium	oilspill	1e-06	EX_ser__L_e	-100.0	0.1	ser__L_e	import
513	Flavobacterium	oilspill	1e-06	EX_mg2_e	-0.001753394054105961	0.1	mg2_e	import
519	Flavobacterium	oilspill	1e-06	EX_lac__L_e	-100.0	0.1	lac__L_e	import
521	Flavobacterium	oilspill	1e-06	EX_mn2_e	-0.00013966516327230233	0.1	mn2_e	import
526	Flavobacterium	oilspill	1e-06	EX_pnto__R_e	-0.00011642132278666395	0.1	pnto__R_e	import
530	Flavobacterium	oilspill	1e-06	EX_lys__L_e	-0.06935982213268663	0.1	lys__L_e	import
531	Flavobacterium	oilspill	1e-06	EX_abt__L_e	100.0	0.1	abt__L_e	export
537	Flavobacterium	oilspill	1e-06	EX_fe3_e	-0.0015781557088713949	0.1	fe3_e	import
543	Flavobacterium	oilspill	1e-06	EX_val__L_e	100.30860132812063	0.1	val__L_e	export
545	Flavobacterium	oilspill	1e-06	EX_bz_e	-2.021203522417636e-05	0.1	bz_e	import
547	Flavobacterium	oilspill	1e-06	EX_uaagmda_e	0.026136522356772218	0.1	uaagmda_e	export
550	Flavobacterium	oilspill	1e-06	EX_succ_e	-0.32137924844528243	0.1	succ_e	import
552	Flavobacterium	oilspill	1e-06	EX_trp__L_e	-43.686327734531574	0.1	trp__L_e	import
553	Flavobacterium	oilspill	1e-06	EX_cl_e	-0.0010520364324690945	0.1	cl_e	import
555	Flavobacterium	oilspill	1e-06	EX_citr__L_e	-0.1056704515731326	0.1	citr__L_e	import
556	Flavobacterium	oilspill	1e-06	EX_hxan_e	-97.73225748170057	0.1	hxan_e	import
563	Flavobacterium	oilspill	1e-06	EX_meoh_e	-100.0	0.1	meoh_e	import
570	Flavobacterium	oilspill	1e-06	EX_fum_e	99.76769029797208	0.1	fum_e	export
572	Flavobacterium	oilspill	1e-06	EX_dha_e	44.90819536550299	0.1	dha_e	export
577	Flavobacterium	oilspill	1e-06	EX_tyr__L_e	-0.027871588067455377	0.1	tyr__L_e	import
592	Flavobacterium	oilspill	1e-06	EX_gthrd_e	-100.0	0.1	gthrd_e	import
